ID,LOINC_CODE,CODE_SET_ID,GROUP_IDENTIFIER,COMPONENT_NAME,REFERENCE_VALUE_TYPE,UNIT,REFERENCE_RANGE_LOW,REFERENCE_RANGE_HIGH,AUTO_MAP_TITLE,AUTO_ID,"truncate table taxonomy_staging.standard_references.lab;
INSERT INTO TAXONOMY_STAGING.STANDARD_REFERENCES.LAB
(ID, LOINC_CODE, CODE_SET_ID, GROUP_IDENTIFIER, COMPONENT_NAME, REFERENCE_VALUE_TYPE, UNIT, REFERENCE_RANGE_LOW, REFERENCE_RANGE_HIGH) VALUES"
1,2345-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Glucose [Mass/volume] in Serum or Plasma,numeric,mg/dL,74,100,Glucose [Mass/volume] in Serum or Plasma: mg/dL,1,"('1','2345-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Glucose [Mass/volume] in Serum or Plasma','numeric','mg/dL','74','100'),"
2,2339-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Glucose [Mass/volume] in Blood,numeric,mg/dL,74,100,Glucose [Mass/volume] in Blood: mg/dL,2,"('2','2339-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Glucose [Mass/volume] in Blood','numeric','mg/dL','74','100'),"
3,74774-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,"Glucose [Mass/volume] in Serum, Plasma or Blood",numeric,mg/dL,74,100,"Glucose [Mass/volume] in Serum, Plasma or Blood: mg/dL",3,"('3','74774-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Glucose [Mass/volume] in Serum, Plasma or Blood','numeric','mg/dL','74','100'),"
4,27353-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin,numeric,mg/dL,74,100,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin: mg/dL,4,"('4','27353-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin','numeric','mg/dL','74','100'),"
5,2344-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Glucose [Mass/volume] in Body fluid,numeric,mg/dL,74,100,Glucose [Mass/volume] in Body fluid: mg/dL,5,"('5','2344-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Glucose [Mass/volume] in Body fluid','numeric','mg/dL','74','100'),"
6,2342-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Glucose [Mass/volume] in Cerebral spinal fluid,numeric,mg/dL,74,100,Glucose [Mass/volume] in Cerebral spinal fluid: mg/dL,6,"('6','2342-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Glucose [Mass/volume] in Cerebral spinal fluid','numeric','mg/dL','74','100'),"
7,1558-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Fasting glucose [Mass/volume] in Serum or Plasma,numeric,mg/dL,74,100,Fasting glucose [Mass/volume] in Serum or Plasma: mg/dL,7,"('7','1558-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Fasting glucose [Mass/volume] in Serum or Plasma','numeric','mg/dL','74','100'),"
8,17861-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Calcium [Mass/volume] in Serum or Plasma,numeric,mg/dL,8.6,10.2,Calcium [Mass/volume] in Serum or Plasma: mg/dL,8,"('8','17861-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Calcium [Mass/volume] in Serum or Plasma','numeric','mg/dL','8.6','10.2'),"
9,49765-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Calcium [Mass/volume] in Blood,numeric,mg/dL,8.6,10.2,Calcium [Mass/volume] in Blood: mg/dL,9,"('9','49765-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Calcium [Mass/volume] in Blood','numeric','mg/dL','8.6','10.2'),"
10,17863-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Calcium.ionized [Mass/volume] in Serum or Plasma,numeric,mg/dL,8.6,10.2,Calcium.ionized [Mass/volume] in Serum or Plasma: mg/dL,10,"('10','17863-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Calcium.ionized [Mass/volume] in Serum or Plasma','numeric','mg/dL','8.6','10.2'),"
